#,author,year,outcome_cat,predictor_cat,N,TE,seTE,lower,upper,log_TE,log_seTE,log_lower,log_upper,country,income,study
4,O´Donnovan,2022,Cognition,Lifestyle factor,20174,0.625,1.0561944568299624,0.56,0.6950000000000001,-0.47080426992922253,0.054600498728671704,-0.5799779594545804,-0.365944004438188,Colombia,LMI,SABE-Colombia (2006)
5,Smith,2022,Cognition,Lifestyle factor,2070,0.94,1.110196393696438,0.77,1.16,-0.0618754037180875,0.104536930931806,-0.261364764134407,0.148420005118273,Mexico,UMI,SAGE (considering only Mexico)
6,García-Channes ,2022,Cognition,Cognition,590,2.01,1.3588947362650203,1.1,3.66,0.698134722070984,0.306671675410446,0.0953101798043249,1.29746314741328,Mexico,UMI,MHAS
6,García-Channes ,2022,Cognition,Health,590,0.48,1.3687709527013456,0.26,0.89,-0.7339691750802,0.313913222375168,-1.34707364796661,-0.116533816255952,Mexico,UMI,MHAS
6,García-Channes ,2022,Cognition,Mental health,590,2.37,1.373406931157794,1.28,4.44,0.86288995514704,0.317294463906277,0.246860077931526,1.49065437644413,Mexico,UMI,MHAS
8,Villa,2021,Cognition,SDOH,269,0.5299999999999999,1.3629105124419396,0.2866666666666667,0.9633333333333334,-0.6362693415603576,0.309412990133678,-1.2520436618237267,-0.0391447404997054,Mexico,UMI,?
12,Jacob,2021,Cognition,Health,1124,1.27,1.4753921526464755,0.59,2.71,0.2390169004705,0.388923820656628,-0.527632742082372,0.99694863489161,Mexico,UMI,SAGE
13,Borda,2021,Cognition,Demographic,23343,0.947250934631255,1.0178163270364764,0.933224122684791,0.9617940695267807,-0.0675,0.0175,-0.085,-0.05,Colombia,LMI,SABE-Colombia (2006)
13,Borda,2021,Cognition,Health,23343,0.9980267203718177,1.0528908283329008,0.9460293713672172,1.0538516170551562,-0.08333333333333333,0.05111111111111111,-0.13444444444444445,-0.03222222222222223,Colombia,LMI,SABE-Colombia (2006)
13,Borda,2021,Cognition,Lifestyle factor,23343,0.8736655639036097,1.0460672172806311,0.8335409950016267,0.9158052904631235,-0.18,0.045,-0.225,-0.135,Colombia,LMI,SABE-Colombia (2006)
13,Borda,2021,Cognition,SDOH,23343,0.1898157328470694,1.072829957840751,0.17827707747299418,0.202241855397414,-1.7633333333333334,0.07,-1.8333333333333333,-1.6933333333333334,Colombia,LMI,SABE-Colombia (2006)
14,Passos,2021,Cognition,Health,448,1.7745000000000002,1.7724193190660429,0.671,5.167,0.3501359868090312,0.5456867906664982,-0.7184192523070922,1.4206729671055807,Brazil,UMI,Pró-Saúde cohort
14,Passos,2021,Cognition,Lifestyle factor,448,0.5599999999999999,1.5164436019960563,0.26166666666666666,1.2141666666666666,-0.6948026445476593,0.41406111162292314,-1.5069416678349237,0.11617788972693538,Brazil,UMI,Pró-Saúde cohort
15,Peeters,2020,Cognition,Demographic,1846,1.6375,1.2468156009075468,1.0999999999999999,2.465,0.38615974607160475,0.21861143062985824,-0.04304964189494326,0.8139071661390105,Cuba,CUBA,Cuban cohort of the 10/66 Dementia Research Group
15,Peeters,2020,Cognition,Health,1846,1.16,1.2657671595347098,0.734,1.8539999999999999,0.0880168267773476,0.23363327140538281,-0.37086355484457434,0.5449788690645271,Cuba,CUBA,Cuban cohort of the 10/66 Dementia Research Group
15,Peeters,2020,Cognition,Lifestyle factor,1846,1.73,1.3140416941759616,1.0077777777777779,3.0255555555555556,0.5080595168558617,0.270556143410541,-0.022923550271539986,1.037656531897782,Cuba,CUBA,Cuban cohort of the 10/66 Dementia Research Group
15,Peeters,2020,Cognition,Mental health,1846,1.49,1.1890890862609793,1.06,2.09,0.398776119957368,0.173187540268557,0.0582689081239758,0.73716406597672,Cuba,CUBA,Cuban cohort of the 10/66 Dementia Research Group
15,Peeters,2020,Cognition,Other,1846,1.135,1.209151339417287,0.775,1.6549999999999998,0.06208132131021099,0.189862581966677,-0.31218383258255983,0.432077488726813,Cuba,CUBA,Cuban cohort of the 10/66 Dementia Research Group
15,Peeters,2020,Cognition,SDOH,1846,1.4380000000000002,1.3200795794164315,0.8320000000000001,2.4899999999999998,0.3401125779512837,0.2773799602706728,-0.20448348152487003,0.8828459627361684,Cuba,CUBA,Cuban cohort of the 10/66 Dementia Research Group
19,Cochar-Soares,2020,Cognition,Health,1944,1.49,1.219692444166179,1.01,2.2,0.398776119957368,0.198598732018138,0.00995033085316809,0.78845736036427,Brazil,UMI,ELSI-Brazil
19,Cochar-Soares,2020,Cognition,Other,1944,1.125,1.2555247769272166,0.7333333333333334,1.7416666666666665,0.09556189571624785,0.22643746072426466,-0.3479956330664624,0.5396392129726552,Brazil,UMI,ELSI-Brazil
20,Solis-Urra,2020,Cognition,Demographic,1571,1.511,1.1392650066528698,1.1545999999999998,2.0327,0.2766917394728509,0.12748959877698102,0.02988723560652414,0.5296464628122888,Chile,HI,2016-2017 Chilean National Helth Survey
20,Solis-Urra,2020,Cognition,Health,1571,1.0163333333333333,1.0631198679496807,0.9023333333333333,1.1603333333333332,0.013229432042338202,0.0594399283818979,-0.10353305277434054,0.1294714664826995,Chile,HI,2016-2017 Chilean National Helth Survey
20,Solis-Urra,2020,Cognition,Lifestyle factor,1571,2.4676666666666667,1.2330052276492427,1.6366666666666667,3.72,0.9032727427402456,0.2094544402851297,0.49266161165285033,1.3137230175705568,Chile,HI,2016-2017 Chilean National Helth Survey
20,Solis-Urra,2020,Cognition,Mental health,1571,0.952,1.2515538135913802,0.605,1.458,-0.0491902441907718,0.224385830239225,-0.502526820951296,0.377065633586466,Chile,HI,2016-2017 Chilean National Helth Survey
20,Solis-Urra,2020,Cognition,Other,1571,1.6206666666666667,1.1542229637493595,1.1903333333333332,2.2276666666666665,0.42101405582399737,0.14228409819210766,0.14191688730460628,0.6996705522176679,Chile,HI,2016-2017 Chilean National Helth Survey
21,Poblete-Valderrama,2019,Cognition,Lifestyle factor,1384,1.4881250000000001,1.3096100484871875,0.67875,2.296875,0.02487831247983778,0.267758598184547,-0.6375816524481815,0.41203205243524177,Chile,HI,(ENS 2009-2010
22,De Souza,2020,Cognition,Demographic,287,1.635,1.7301307178401482,0.6475000000000001,4.282500000000001,0.09282839164291379,0.535179349901704,-0.9610004514653739,1.1369026001023212,Brazil,UMI,clinic of the University of Southern Santa Catarina
22,De Souza,2020,Cognition,Health,287,2.4000000000000004,1.5363605512742389,1.035,5.5649999999999995,0.8686164415919605,0.42941282172293904,0.027054662823515846,1.7103529240250999,Brazil,UMI,clinic of the University of Southern Santa Catarina
22,De Souza,2020,Cognition,Mental health,287,4.09,1.4905302484602878,1.87,8.94,1.40854497,0.3991319281,0.625938430866495,2.19053558918542,Brazil,UMI,clinic of the University of Southern Santa Catarina
